,write_time,title,brief,content,href,text_len
0,2023-01-10,European Stocks Are Outshining U.S. Peers - WSJ,The turnabout underscores how drastically economic expectations have shifted regarding the continent,european stocks  roared back  life  boosted  signs  slowing inflation  falling energy prices  optimism surrounding chinas reopening often considered laggards   global markets stage  stock indexes across  european region  recent months  outperformed  germanys dax index  frances cac      risen         past three months  tuesday    double       gain   sthe turnabout underscores  drastically economic expectations  shifted regarding europe   months ago  engulfed    possible     issueshavent gone away completely  though investors  felt  comfortable continuing  wade back  investing   continent   start   new  hasnt derailed  optimism either  gains  european indexes   far   outstripped    US   even  tuesdays drop  stocks across europe   ftse     lost        day    dax edged         sin one recent sign  confidence  traders poured  largest two week sum  u k  stock funds since june  investors added   meanwhile  positioning   european futures market  grown  sanguine  according  chris montagu  citi research  investors last week ramped  bullish bets across european indexes   greater magnitude  across US  indexes  european stocks  shown  lot  resilience  probably  resilience   expected   susannah streeter  senior investment  markets analyst  hargreaves lansdown  strength  europes bounceback   result   mechanics  fundamentals  compared   US   stock indexes  europe arent dominated   kinds  big technology stocks   dragged   US  market    higher interest rate environment  investors preference  value stocks   banks  retailers  energy companies  benefited cyclically tilted european indexes  prolonged weakness last    euro   british pound   dollar made european stocks cheaper   attractive   investors  additionally     boon  european companies  derive large chunks  revenues  overseas   weaker euro  pound increases european companies export competitiveness   value   dollar based revenues      pound  recent weeks driven   part   growing optimism   region   recently helped boost returns  dollar based investors  strength  european stock markets  also  driven   stronger economic backdrop     relieved investors worries   energy crisis could torpedo  economy  falling energy prices  also helped bring inflation   last week  data   european unions statistics agency showed   annual rate  inflation   consumer prices rising   slowest pace since august  inflation   sudden easing  chinas covid    restrictions  provided  unexpected boost   european stocks  including miners    luxury goods giant   birkin bag maker  sca   example    climbed        hopes  chinese consumers   important component   luxury market   increase spending overseas    stronger connection  european stocks  china   US  stocks   florian ielpo  head  macro  lombard odier investment managers  still    ielpo   wasnt optimistic   outlook  europe    ielpo believes  european central bank  still   early stages   tightening cycle   therefore  pain  likely awaiting european economies  borrowing costs rise   long term support  chinas reopening  bring  european companies remains  big question mark    short term  theres  flurry  positive factors    profiting european stocks    ielpo   longer run   factors  probably going  wane another question  whether traders current preference  value stocks  persist   technology stocks rebound sometime         could dent  allure  european markets   jurys still    moment   kevin gardiner  global investment strategist  rothschild  early days   havent yet seen  peak  interest rates    cant yet  confident… whether     global recession            write  caitlin mccabe  ,,3582
1,2023-01-10,Powell Says Fed Will Not Become a Climate Policy Maker - WSJ,"To protect its independence to set interest rates and combat inflation, the central bank cant wade into extraneous issues, says Fed Chair Jerome Powell", federal reserve must avoid straying  political issues  arent directly related   economic management objectives  protect  ability  bring  inflation without interference  elected officials   chair jerome powell  central bank remains strongly committed  lowering inflation  restraining economic growth  interest rate increases  even though   could fuel political blowback      panel discussion   central bankers  sweden  tuesday bringing inflation     high  require measures    popular   short term   raise interest rates  slow  economy    powell    made     important   added    central bank  stick   knitting   wander   addressing issues  arent directly linked   mandate  keep inflation low              climate policy maker    powell    put pressure   central bank  take   activist role  policing bank lending decisions  address climate change    powell made  case   much  limited role    fed monitors  banks  managing  array  financial risks  including  posed  climate change steps   drawn disapproval   republicans    opposed last month  another fed governor   central bankers  taken bolder steps  tackle climate change   oversight   financial sector    powell suggested  didnt think  fed    authority      issue lacks clear political consensus   US using  feds banking supervision authorities  take  aggressive steps  climate change would  inappropriate without  explicit instructions  congress        feds institutional arrangements   policy makers set interest rates   sometimes referred    independence allow  central bank  take unpopular steps  fight inflation  slow  economy without   worry  short term political factors    powell    didnt otherwise comment   feds   fed  last    near zero  march           end     officials  signaled  intention  lift  rate        extending    combat inflation   also  near      high separately  fed governor michelle bowman   benchmark rate  though incoming data would determine   long    increment  fed  lift   despite  signs  improvement  inflation     lot  work     told  audience  bankers  miami   powell  confirmed last spring    second four  term   feds chair    senior democratic lawmakers   recently voiced alarm   feds rapid rate rises  chairman   senate banking committee  sen  sherrod brown     top democrat   house financial services committee  rep  maxine waters   separately sent letters    powell last fall warning  overdoing rate increases   must  lose sight   responsibility  ensure    full employment    brown wrote  october  critics    outspoken     big difference  landing  plane  crashing   sen  elizabeth warren     conference  november  powell risks pushing  economy   cliff   powell    central bank  trying  avoid unnecessary economic damage     slowing  pace   rate rises     repeatedly warned   would likely   pain  bringing     remarks    powell   believes  benefits  independent monetary policy   US  context  well understood  broadly accepted   also  grants  independence  agencies like  fed   exceedingly rare  explicit  tightly circumscribed   limited   issues  clearly warrant protection  short term political considerations write  nick timiraos  ,,3123
2,2023-01-10,Several Top Rivian Executives Depart the Electric-Vehicle Startup - WSJ,Recent exits include the heads of body engineering and parts purchasing,several top executives   departures  confirmed   rivian spokeswoman    latest developments      challenging period  rivian     rolling   first  electric models  last          vehicles   company      goal       vehicles  part     rivians stock  also tumbled since    november        roughly      tuesdays close   executives   left    rivians longer tenured employees  among   randy frank  vice president  body  interior engineering   steve gawronski   vice president  charge  parts purchasing    departed around  beginning       frank joined rivian         co    gawronski joined         autonomous vehicle startup zoox another early employee  patrick hunt   senior director   strategy team  left  company late last     hunt joined rivian       rivians general counsel  neil sitron  departed  september   ½ years   company    founded        rivian spokeswoman   company wants  ensure  startup   talent  staff  needs  ramp  production   company declined  comment   individual circumstances   departures  efforts  reach  former employees werent immediately successful  continue  attract world class talent   company   business needs change     departures mark  latest shake    top  rivian     oversee  companys manufacturing operations   companys first full   factory production  marred    difficulties getting   tim fallon  former head   co  factory  canton  miss    hired  early       run rivians sole factory  normal  ill  june  rivian hired frank klein  chief operating officer   contract manufacturer    november email  employees reviewed   journal    klein wrote     gawronskis exit   company  taking  opportunity  make  organizational changes  ensure   support  increased complexity   group  handle  coming years   klein added rivian  reorganizing  supply chain management  putting one vice president  charge   supply chain  logistics   another  charge  parts procurement  also announced  rivian  hired andreas reutter  tool maker  inc   oversee rivians supply chain logistics  changes   top  rivian come   attempts  transform   upstart looking  raise capital   mass manufacturer  ambitions  become one   worlds largest auto makers  first  electric models   r  pickup truck  r  sport utility vehicle   relatively new   company    building cars   illinois factory since late            never built  sold  single vehicle  retail   part   expansion  rivian went   hiring spree  growing rapidly         workers        around        employees   summer  last     recently begun creating positions  exist  many companies  april  anisa kamadoli costa  hired  chief sustainability officer  jewelry maker tiffany inc   october  rivian hired  former capital one financial corp  executive  diane lye    first chief information officer  rivian  struggled  increase factory output    come  pressure  trim spending  last summer   company   cut spending  many   programs   company became focused  bringing production   current set  vehicles   speed   also makes  electric delivery van   sells  amazon com inc    example   young car makers shifting priorities  rivian suspended negotiations  mercedes benz ag   proposed van partnership  europe      expansion target  chief executive rj scaringe  rivian   decision came   evaluating  opportunities  growth  company reported  net loss  ,,3271
3,2023-01-11,Classified Documents Found at Joe Bidens Office Draw Growing Bipartisan Scrutiny - WSJ,"Democratic, Republican intelligence panel leaders ask administration for answers on the November discovery",washington  new republican chairman   house oversight committee   panel  launching  investigation    set  classified documents  used   committee  concerned  president biden  compromised sources  methods    mishandling  classified documents  rep  james comer    panels chairman  wrote tuesday   letter   white house requesting  provide  jan     copies   papers taken    bidens former office   list     access   office  communications  various departments   white house   documents sen  mark warner   chairman   senate select committee  intelligence     statement tuesday:  expect   briefed   happened rep  mike turner     expected  become chairman   house permanent select committee  intelligence   tuesday   avril haines   director  national intelligence  review  assess  damage caused   discovery   classified documents  provide  classified briefing   findings cbs news reported  monday evening  classified materials  found nov      penn biden center  diplomacy  global engagement  washington     biden kept  office   tenure  vice president   turned    national archives  following day   least  dozen documents  classification markings  turned    archives  according  people familiar   inquiry launched   justice department   white house released  statement monday evening  one    bidens attorneys confirming details   discovery    two months   occurred    biden addressed  documents   first time   press conference tuesday  mexico city     attending  north american leaders summit  people know  take classified documents  classified information seriously    biden     documents  found   box   locked part   office   lawyers  clearing     briefed   discovery  surprised  learn     government records   taken    office    biden   president   doesnt know   documents contain   hasnt asked      lawyers  cooperating fully   review   papers       concluded shortly  response  questions tuesday   wall street journal    administration didnt disclose  discovery sooner  white house spokesman ian sams :    ongoing process  review  doj     going   limited     say   time     committed     right way     provide  details    appropriate   matter  referred   justice department  officials     federal bureau  investigation decided   assign  inquiry   doj section  normally investigates cases involving  potential mishandling  classified information    hundreds  classified   government documents found  former president donald trumps mar  lago resort   moved instead  keep  two probes separate  according  people familiar   matter within days   people   attorney general merrick garland settled  john lausch   US  attorney   northern district  illinois     appointed    trump  remained   post    bidens inauguration  oversee sensitive public corruption investigations  way    lausch  reviewing  documents  advising  attorney general   proceed  including whether  appoint  special counsel   lausch  already briefed   garland      review  entering  final stages  one   people   discovery   documents adds  topics      control  house  possess subpoena power   white house  already  girding  investigations   administrations handling   withdrawal  afghanistan    bidens son hunters business dealings  immigration policies   request    warner      frequent biden ally  underlines  bipartisan interest  learning    documents   potentially make   difficult   white house  brush  congressional questions  partisan inquiries    warner   also wants  know    happened  classified documents found    trumps home republicans also focused tuesday    view  different treatment    biden    trump    found    possession  classified material  leaving office   months  less intrusive efforts  secure  documents   fbi executed  search warrant    august   documents seized     subject   protracted legal fight house majority leader rep  steve scalise     first news conference   new role      biden  face  media attention  holding  documents   years  vice president biden left office   looks like  took classified documents       critical  president trump     scalise  according   white house account   documents  found   locked cabinet   presidents personal lawyers    moving   bidens items    offices    biden used  space  mid        started  presidential campaign   statement     bidens lawyers notified  national archives   day  found  documents    handed    archives  following day  according   white house account   national archives spokesperson declined  comment   comer  tuesday also formally requested information   national archives  including communications   archives  white house aides  department  justice officials   request  part   effort   committee  determine     political bias   archives  according     democrats defended   biden  tuesday  pushing back   notion  disparate treatment   president  handling   way     rep  pete aguilar    chair   house democratic caucus    republicans hypocrisy   finest     adding    law enforcement officials found documents    trumps property  republicans played   news  current  former law enforcement officials     similarities   biden review   justice departments investigation  classified documents    trumps mar  lago home  including  sensitive national security information  discovered somewhere  shouldnt     also cited differences  namely  smaller volume  documents  issue     bidens personal attorneys found  documents  voluntarily notified  national archives  justice department   well   smaller volume  documents  issue   officials  situations    one involving   bidens office  often handled  internal discipline  sanctions rather  criminally  prosecuting someone  mishandling classified information requires prosecutors  show  intended   recklessly removed documents   proper place   charges   filed  connection   mar  lago documents     trump  denounced  fbis criminal investigation   witch hunt   lausch  earlier tapped   trump administration  respond  republican demands  documents   fbis handling   hillary clinton email investigation   republicans accused officials  slow walking  release attorney general garland wants  appear  though   staying    politics     john huber   former US  attorney  utah    similarly appointed    trumps first attorney general  jeff sessions   review republican allegations   fbi  justice department  including  employees  biased    closed probe  mrs  clintons use   private email server    lausch    political animal     prosecutor   follows  evidence    seeks  interest  justice    huber   write  annie linskey  ,,6486
4,2023-01-11,5 Key Takeaways From the Golden Globe Awards: Steven Spielberg Returns - WSJ,Steven Spielbergs The Fabelmans and Martin McDonaghs The Banshees of Inisherin win top movie awards; Abbott Elementary and The White Lotus pick up TV prizes, fabelmans   banshees  inisherin took home top movie honors     th golden globes tuesday night  capping  shows return  prime time television amid efforts  rehabilitate  awards standing  hollywood     spielbergs semi autobiographical movie  growing    filmmaker  earned   third career award  best director    emotional speech    spielberg   took   entire life  work   courage  tell   personal story ive  hiding   story since      years old     banshees  inisherin   dark comedy   breakup  two friends living   irish island   three awards   evening  director martin mcdonagh  known  stories  embrace grim humor   best screenplay   film      may know   wrote  script   two stars   film: jenny  donkey  minnie  horse    mcdonagh joked  two animals featured  banshees   accepted  award   went   thank  human stars   write : colin farrell     best actor award tuesday night   brendan gleeson    nominated   supporting actor nbc didnt air  globes     scandal  ethics  finances  diversity   organization  runs  ceremony   hollywood foreign press association   globes  long   unofficial start  awards season    years ceremony  preceded  questions    would play    would show    ceremony   red carpet   turned     celebrity heavy event   stars   brad pitt  margot robbie  rihanna  attendance    newer stars      jenna ortega  nominated   turn   hit wednesday   austin butler    best actor   drama film   starring role  elvis several famous nominees   shows   night  including zendaya     first golden globe   starring role   hbo teen drama euphoria       best actress   drama film  tár   star kevin costner didnt pick   award  best actor   drama series    sheltering  place  santa barbara  calif     according  presenter regina hall    first award   night went  ke huy quan  best supporting actor    tears    quan   former child actor  got  start  indiana jones   temple  doom  described  decades long struggle  return   front   camera  michelle yeoh   also starred  everything everywhere  also   first golden globe   leading role     years  letting go    ms  yeoh   gripping  award onstage     incredible fight    today    think   worth  angela bassett planted  flag    star became  first performer  win  major acting award   marvel movie  another notable moment:   golden globe  best original song went  naatu naatu    indian action epic rrr   song  written  chandrabose  composed     keeravani  beat nominees  western superstars   taylor swift   rihanna   lady gaga  among  nights television winners  abbott elementary   emmy decorated abc sitcom  earned three awards  including best comedy series  best actress   shows creator  quinta brunson  comedy brings us together  ms  brunson    acceptance speech   top comedy award    best drama series   victory   predecessor game  thrones never accomplished   white lotus also took home two awards   second season   one  best limited tv series  another  fan favorite jennifer coolidge     best supporting actress   limited series  ceremony featured  brief address  ukrainian president volodymyr zelensky   appeared   prerecorded video message  thank supporters   country   war  russia   host    opened  night  addressing    hfpas problems head   including      reason   asked  host  awards ceremony   first place: ill tell   im       crowd  im   im black   uneasy laughter  uncertain applause    carmichael walked  audience   thought process  agreeing  host   getting  call  become  black face   embattled white organization   accepting  gig        host often tried  quiet  noisy celebrity audience inside  beverly hilton hotel   hurried along  abbreviated segment transitions  increasingly urgent music signaling winners  cut  speeches short  still   telecast went well past  intended end time     p   eastern perhaps  greatest indicator  globes  aiming  business  usual write  john jurgensen    ashley wong  ,,3847
5,2023-01-10,Bed Bath &amp; Beyond Plans More Layoffs as Cash Dwindles - WSJ,Retailer burned through about $300 million in cash in its latest quarter, inc     plans  layoffs  cost cuts   home goods retailers     recent period  retailers operations burned    company  last week    considering several options  including seeking relief  bankruptcy court   retailer    early stages  planning   chapter    bankruptcy filing   could come within weeks  according  people familiar   situation chief executive sue gove told analysts   conference call   company  pushing    also   process  closing    plan   announced  late august          bed bath bed bath net sales fell       net loss widened  bed bath  companys shares closed tuesday trading   company   replaced name brands  private label goods  move  turned  shoppers  former chief executive mark tritton resigned  june  followed   exodus  senior leaders  ms  gove   former retail executive  bed bath  tuesday ms  gove   company  working  improve  inventory situation  also getting  national brands  refining  assortment  private label products   told analysts  private label penetration  declined    percentage points compared   first half   fiscal    began  february    credit constraints  vendors demanding better payment terms made  harder   company  keep  shelves stocked   period   added   stock levels improve      certain categories  sales improve shopper visits  bed bath bed bath  chapter    filing isnt certain  occur   company  likely  secure  financing  would see    bankruptcy process  existing creditors  people familiar   matter  bed bath   helped  navigate  critical holiday season      trying  reduce  debts  reassure vendors   also pursued  series  debt exchanges  would  extended maturities  reduced interest expenses   required investors  take substantial haircuts   principal   last week   failed  gain enough support  creditors   proposed exchange   unsecured senior notes write  suzanne kapner  ,,1816
6,2023-01-11,Brazils Supreme Court Orders Security Chiefs Arrest Over Riots - WSJ,Officials probe the role of local authorities in Sundays attacks on government buildings as they investigate the financing of protesters,brasília brazils supreme court  tuesday  ordered  arrest   secretary  charge  public security   capital   military police commander   city   time  sundays riots television images  tuesday showed police emerging   brasília home  anderson torres    fired sunday  public security secretary  brasílias federal district  rioters stormed  presidential palace  congress   supreme court   president   torres  earlier served  justice minister    da silvas right wing predecessor  jair bolsonaro   former president  previously declined  concede    lost  october presidential election    da silva   condemned sundays riots   bolsonaro     orlando  fla   area since  end  december     leftist   da silva took office   torres    previously      family holiday outside  brazil    twitter   would return  brazil  turn    believe   brazilian justice system    strength   institutions    certain   truth  prevail       torres  condemned  riots   statement monday  supreme court also ordered  arrest  fábio vieira  commander   military police  brasília   time   siege    vieira couldnt  reached  comment   brazil   supreme court  able  authorize  investigation   arrest  suspects supreme court justice alexandre de moraes   signed  order sunday   men      riots could   occurred   consent   even active participation    competent authorities  public security  intelligence    torres couldnt immediately  reached  respond  justice moraess comments   decision  justice moraes accused  messrs  torres  vieira  various omissions  public security  contributed   practice   terrorist acts  jan      behavior  extremely serious   wrote  adding   could  put  presidents life  risk  though   da silva wasnt  brasília   time  monday  justice moraes  removed ibaneis rocha  brasílias governor    torress boss    post   next three months    rocha    statement    always acted rigorously  protect  countrys institutions  arrests  part   growing investigation  comes   two days  thousands    three powers square   capitals grassy esplanada  authorities probe  action  military police   scene   violence  investigators  also homing     may  financed  attacks  probing links   nations  brazilian justice minister flávio dino  monday    indisputable  people linked  agribusiness took part  sundays acts   warned  accusing  entire sector  involvement  many protesters   wanted  army  oust   da silva   took office jan     defeating   bolsonaro  octobers election   army didnt rise     da silva    president blamed  military police   answer  brasílias local government    preventing  violence  vandalism   authorities aim  determine  paid   convoy      buses   costs  transport   bolsonaros supporters  brasília    turned  attention   countrys wealthy farming belt    bolsonaro  farming associations  released  series  statements  condemn sundays attacks  brazils agribusiness association called  violence unreasonable  illegal  unacceptable   agribusiness defends peaceful solutions  leading associations didnt respond  calls seeking comment  whether agribusinesses funded  bus convoy bolsonaro supporters  participated   protests    came determined  see   da silva ousted  many       bolsonaro  voter fraud  though    proof  tampering   dont accept  new government   president  says   elected   claudio aparecido siquiere       cattle farmer  mato grosso  came  brasília  protest outside  army headquarters  month   doesnt    bolsonaro    want  right wing president        people   detained   rioting   suspected  vandalism  destruction  public property  attempting  coup  say authorities   detainees havent  charged write  samantha pearson    luciana magalhaes  ,,3628
7,2023-01-10,Oil and Gas Are Back and Booming - WSJ,"The Haynesville basin in Louisiana and Texas is humming with drillers. Among them is Chesapeake, a fracking pioneer that was in bankruptcy just two years ago.", corp   one   biggest stars   fracking boom  riding high  years   ability  tap vast troves  american natural gas    summer         pandemic  lockdowns  caused revenue  dry     company    big  ill timed expansion   protection yet last   chesapeake racked  thanks   mix  events    russian invasion  ukraine   US  economic recovery  fossil fuels  showing surprising resilience  despite president bidens    industrys  history  boom bust investing  heavy  US  production  natural gas chesapeakes focus  hit record levels   countrys crude oil production remains shy        level   otherwise   peak  exports   gas  crude  hitting new highs  easily outpacing overseas sales  aircraft  pharmaceuticals  food  cars   rose     last    biden administration     oil  gas companies  tapped  nations vast private shale reserves  drive production higher  surging global demand  US  oil  gas  fueled high profit margins  producers    biden  accused   profiteering   crisis   take  different lesson   fortune  whats really happened   world  realized    need  hydrocarbons  energy policy   domenic dellosso  chesapeakes chief executive chesapeake recently put  seventh drilling rig  work   haynesville basin   giant natural gas field straddling east texas  northwest louisiana   also known booms   past        drilling rigs  operating   early january  compared       summer         local economy  cashing   boom  different  earlier ones   gas production surges   decade        many drillers expanded   breakneck pace  loading   debt      rushed   haynesville region  gas prices rose     quickly packed   prices fell  taking away  jobs  tax revenue  landowner royalties  time  domestic  international forces   companies betting  steady demand  haynesville gas  several years  least   addition   shareholders  insisting  return    profit  investors instead  using   expand    strategy   positioned   better handle swings  commodity prices  executives  analysts say  another difference:  windfall  producers  largely coming  exports   limits  extent    increased production translates  lower prices  american consumers  recently pushed natural gas prices  among  reasons:  isnt enough pipeline capacity  send  gas  appalachias gas fields  populous areas    northeast   contrast   isnt difficult  move large amounts  gas   place    haynesville basin  terminals   US  gulf coast  shipping   liquefied form    northwestern louisianas desoto  caddo parishes  roads  bustling  trucks   workers  filled rv parks  theres  lot  work  everybody right    marcos arellano   worker   rig operated  chesapeake   mansfield  la    roughly      increase  sales tax revenue         mayor thomas jones   bounty enabled  town         afford    local comfort inn  hefty royalty checks  started landing   mailbox  jim may       old landowner   property  leases   co   aethon energy management   companies drilled    new wells         fracked three aging ones    may took  chesapeake produced     billion cubic feet  gas  day   haynesville   third quarter        says  plans  modestly increase production        competitor  inc   majority owned  dallas cowboys owner jerry jones   also    drilling   chesapeake  co founded         charismatic wildcatter aubrey mcclendon   among  first operators  recognize  horizontal drilling  hydraulic fracturing could unlock troves  natural gas   company drew gas  tight shale formations  louisiana  texas  appalachia   also took  billions  dollars  debt  build  position  millions  acres    leased mineral rights   producers followed     early            drilling rigs dotted  haynesville  bringing prosperity   historically poor area    series  disasters struck  overproduction drove  gas prices  prompting chesapeake   diversify  production mix  include crude oil  texas  oklahoma   slash gas drilling   producers also    economic whiplash   small businesses catering   drillers activist investors including carl icahn took issue    mcclendons risk taking  free spending ways           three years later    mcclendon    day   indicted  federal price fixing charges    denied   link  found   death   indictment gas prices slightly   slumped  going   pandemic  sending chesapeake  dozens  others  bankruptcy court behind  companys push back   haynesville    bet   US    rest   world wont  able  unwind quickly  dependence  fossil fuels   especially  natural gas   many   industry say could   bridge   future   renewables dominate   going  shift away  fossil fuels   need  identify  exit strategy   cant  veer   road   timothy fitzgerald   texas tech economics professor    energy adviser  former president    chesapeake emerged  bankruptcy  early       management eschewed growth  put priority  cash generation  investor payouts     dellosso  strategy   large debt loads  made impossible  years past  chesapeake reduced  debt outstanding          company acquired vine energy inc   getting hold  additional gas assets   haynesville   august       chesapeake disclosed     month agreement  supply     million cubic feet  day  gas  golden pass lng   export terminal   gulf coast   due  come online        US    whole   track  double exports  lng  nearly    billion cubic feet  day        according  sthe production increases   good  controlling  US  trade deficit  mostly failed  cut domestic energy costs   recent warm temperatures suppressed heating fuel demand  drillers could produce  natural gas  domestic consumption    arent enough pipelines  new volumes    gas delivery system  fragmented   supplies  local   killed projects  ferry gas  appalachia  markets farther east  contributing  electricity prices  new england   typically higher    gulf coast  growing interconnectedness  US  natural gas production  global gas markets means   supply  fetching higher international prices  domestic prices  unlikely  return  prepandemic lows  less  chesapeake  returned   roots  restrained ambitions   capital expenditures   first nine months       totaled investors   demanding returns   dividends  buybacks   growth   industry  uncertain long term prospects   doesnt mean  wont let  drill     prioritize return  capital   robert kaplan  former president   federal reserve bank  dallas analysts expect  lng trade  continue  grow   several new export terminals expected   built   pretty bullish  long term demand  natural gas     dellosso benoît morenne    jon hilsenrath  ,,6364
8,2023-01-11,Tesla Considers $775 Million Texas Factory Expansion - WSJ,Auto makers plans include new construction projects related to car and battery-cell operations, inc    considering   work   new infrastructure could start  early   month  according  regulatory filings  texas   registration documents filed  week   texas department  licensing  regulation cover facilities  make  test batteries   aspects  making  vehicles  tesla produces  model  crossover vehicle  texas     plans  begin building  pickup truck  known   cybertruck    plant     currently  capacity  make           vehicles     facility   company    tesla didnt immediately respond   request  comment   new construction projects chief executive  lastyear   company might open   increase production  meet  goal  selling    million vehicles   end   decade   company    new factory    musk  last month  without providing detail    applying capital  pretty close   fastest rate   spend capital    wasteful    tesla last week reported vehicle deliveries           estimates  already come    car maker signaled  october      originally targeted   numbers  coupled    get buyers  take delivery  vehicles   end   spurred investor concerns  demand   vehicles may  softening teslas stock  closed    slumping      amid demand concerns      musks takeover  twitter inc   october  distracting  billionaire  running  car company   factors tesla  also facing  competition   electric vehicle market   traditional car companies enter  space  despite  challenges  including temporary production disruptions   china factory due  covid    outbreaks  tesla increased vehicle deliveries last          prior  handing  around      million vehicles   company  expected  post record annual profit   announces fourth quarter results later  month write  meghan bobrowsky  ,,1646
9,2023-01-10,Californias Newsom Proposes Budget Cuts as State Faces $22.5 Billion Deficit - WSJ,"Governors budget plan includes $297 billion in spending, down $11 billion from the current year",california gov     shortfall materializes   would   states weakest revenues since          recession        according   nonpartisan state legislative analysts office  californias projected deficit comes  many    large part due   deluge  federal funds   past three years  fight  coronavirus pandemic   monday  texas announced  record  october analysis      largest states  fitch ratings showed california  experiencing    tax revenue declines    states employment  rebounded   past    months  personal income tax withholding     part  salary bonuses  initial public offerings  declined  according   lao   forecast  deficit  november    led   state law requires california  enact  balanced budget     newsom   wants     least initially without tapping tens  billions  dollars  budget reserves  instead    newsom intends  cover  shortfall   patchwork  funding delays  spending reductions  programs  spending shifts   also proposed trimming  states transportation  climate budgets environmental advocates say  would erase recent gains  funding  climate change programs  given  far behind       sustain  commitment  climate action every    mary creasman  ceo  advocacy group california environmental voters   statement    delay  investments   compound  climate crisis   cost  inaction   far worse  governor sought  maintain recent reinforcements   states social safety net  including  expansion   states medicaid program   eligible residents  regardless  immigration status   well   states phase   universal preschool    newsom also promised  proposed cuts  funding    though  stressed   administration would seek  tie distribution   funds  greater local accountability  state revenues come  higher  anticipated    officials receive additional federal funding theyre pursuing      newsom   cuts could  reversed   touching  reserves     wait  see approach    newsom told reporters   briefing tuesday morning      volatile moment   proposal represents  opening volley   monthslong negotiation    newsom   democratic controlled legislature  leaders   houses stopped short  directly addressing   newsoms proposed cuts    statement  assembly speaker anthony rendon signaled  might push   deal  would dip  state budget reserves  saying  could  important  protecting californias progressive investments   newsom   proposal  give leaders  flexibility  tap  reserve accounts   state experiences  even bigger downturn   restore cuts  tax collections rebound    newsom  expected  release  updated budget proposal  may    state revenue picture becomes clearer according   state department  finance  roughly      personal income tax collected  california       came       tax filers    newsom opened  briefing tuesday   chart showing  capital gains   percentage  personal income  california           nearly                 budget   state income tax collections        significantly lower        partly due   lagging stock market          newsom signed  budget  anticipated   budget deal struck  legislators   governor last  spent much   windfall  one time programs    newsom also vetoed dozens   bills    would  added write  christine mai duc  ,,3127
