,write_time,title,brief,content,href,text_len
0,2023-01-12,Stocks Climb After Inflation Data - WSJ,"Federal Reserve appears poised for a smaller quarter-point interest-rate increase</h2>, <h2 class=""sc-jTzLTM jTnwvo"">We want to hear from you",US  stocks climbed thursday   latest inflation data showed cooling price pressures   sixth consecutive month  likely keeping  federal reserve  track  slow  pace  interest rate increases  &amp;p     added       points                     dow jones industrial average gained        points                     technology heavy nasdaq composite rose       points                     indexes bobbed  gains  losses early   session  gaining steam midday consumer price inflation slowed        december          november   labor department   despite landing largely  line  economists expectations  one measure  services inflation excluding energy services   cost  owning  renting  home offered encouragement  tighter monetary policy  proving effective   called supercore inflation  flagged  federal reserve chairman jerome powell  especially important given  sensitivity  labor costs  rose      annualized rate  well   pace seen last   many economists  noted   normal  see  delay  housing prices falling substantially  response   data  traders grew  confident   fed   course  slow  pace  tightening   coming meeting  wall street widely expects  central bank  raise  benchmark rate target   quarter   percentage point   range               feb     data   mixed bag   dig   nuance   andrew patterson  senior economist  vanguard    patterson added    closely watching fed officials comments     end   month  get  better sense    fed might  headed thursdays rally extends  &amp;p     gains   month        energy stocks fared best   indexs    sectors  rising      alongside higher oil prices  brent crude oil futures gained               barrel investors scooped  US  treasurys  lifting bond prices  weighing  yields   yield       US  treasury note slipped                 late wednesday    yield   two  note    sensitive  monetary policy expectations fell                  market based expectations    fed  cut rates  roughly  half percentage point   latter half     according  derivatives prices via factset  yet  policy makers  pushed back   chance   rate decreases        saying borrowing costs    stay high   time  bring  inflation  market  battling     lyn graham taylor  senior rates strategist  rabobank   easing financial conditions   fed officials want  opposite    global investors wagered   less aggressive fed would   boon  assets   suffered   support rising rates provided   dollar  yen rose        greenback  supported  speculation   bank  japan could retreat   ultra lenient monetary policy  front month gold futures jumped                 troy ounce   highest close since april        dollar extended recent declines   wsj dollar index dropped        lowest level since june       speculators  piled  bets   dollar   favor  gold lately  hoping   reversal       performances options traders took  breath  fresh air   print  seeing fewer catalysts  jostle stocks   horizon   cboe volatility index    vix  extended  longest lull since late       falling      level typically seen  signifying lack  worry  complacency         elsewhere  airline stocks received  boost  american airlines improved earnings guidance   sent shares                         overseas markets  broadly higher   stoxx europe     extended  strong start     rising        asia  hong kongs hang seng rose       japans nikkei      close  flat    shanghai composite index rose less       write  eric wallerstein  eric wallerstein@wsj com  akane otani  akane otani@wsj com  joe wallace  joe wallace@wsj com,0,3475
1,2023-01-12,The Markets Are Locked in a Game of Chicken With the Fed - WSJ,Investors are betting the Fed will cut interest rates as early as the second half of the year. The central bank says otherwise., federal reserve says    early  think  cutting interest rates    investors  growing  convinced   exactly   central bank  going    clash  investors hopes  fed policy     ultimately resolves   shaping    one   biggest question marks  financial markets       many money managers predict inflation  peaked    price pressures  fall  fast   fed takes back    interest rate increases   end               seven months   last hike fed officials   hammering  different message:  time   different  inflation  much higher  labor department  thursday   consumer price index   measures  consumers pay  goods  services  rose       december    earlier   marked  slowest pace since october         sixth consecutive monthly decline  last weeks jobs report also showed wage growth cooled   average hourly earnings rising   slowest pace since mid      evidence  inflation  pulling back  fueled bets   fed  cut rates  early   second half     traders  interest rate derivatives markets see      chance   fed lifts rates two  times     around       march  according  cme group   see      chance   fed  cuts rates  least   december   meeting last month  fed officials projected interest rates  continue rising   spring   around       none   penciled  cuts      generally signaled  somewhat  aggressive path  interest rates either    less optimistic  investors   see  speedier slowdown  inflation        less pessimistic   probability   serious recession   honest     dont quite know  markets   optimistic  inflation   san francisco fed president mary daly   feds meeting last month   think    priced  perfection     fed  many investors agree  inflation  keep declining    supply chain bottlenecks abate   housing costs slow   soaring   past two years   fed officials  nervous   labor markets strength could sustain wage growth  keeps inflation   measured   separate gauge       target fed officials  ms  daly   dont   luxury  pricing  perfection…     imagine   risks  inflation  one   colleagues  st  louis fed president james bullard  echoed  point  thursdays report  released   could   inflation starts  go    direction      fed would   react        webinar   dont think theres enough pricing  put   possibility investors   counting  interest rates falling   risk   burned   wind   wrong  &amp;p      risen       october low   much   gains  attributed  bets   fed  pivot  raising rates  cutting   time    government bonds  also retraced  losses   brutal        yield       US  treasury note          thursday  compared   october peak          yields fall  bond prices rise several banks  including jpmorgan chase &amp; co   ubs group ag   deutsche bank ag   expecting US  stocks  post gains     others  cautioning  market could suffer double digit percentage declines yet   especially  fed policy winds   tougher  investors anticipate    turn could cause  economy  slow    investors expect  explains  disconnect   fed  much  wall street?   simple:  market    different view  inflation   thinks inflation  going  fall much faster   fed    mark cabana   head  US  interest rate strategy  bank  america corp  addition    important technical differences    feds quarterly economic  interest rate projections show relative   investors anticipate based  readings  interest rate futures markets  feds projections represent  every individual fed official thinks  happen  interest rates   modal    likely  expectation   economy    projections  reveal   fed  likely  respond  one general set  circumstances  market participants     hand   make probability weighted bets  interest rate futures markets  better take  account different economic scenarios fed chair jerome powell   times emphasized  limitations   feds projections  uncertainty around  outlook  unusually high   dutifully write    see   appropriate funds rate path    likely scenario      aware   projection may  easily misinterpreted      likely may   particularly likely           past  served   cautionary tale  many investors   inflation  interest rates racing far higher   foresaw  think    fed   market  projecting   ago   joe amato  president  neuberger berman group  way stocks  bounced back  past  months suggests theres  false sense  precision   equity markets   rates  headed    many investors also appear   reluctant  take  fed   word   sam lynton brown  head  global macro strategy  bnp paribas sa  market  learned  forward guidance  central banks    point  theyre data dependent   data  volatile  doesnt hold much credibility     lynton brown       data shows   specifically   whether    data suggest inflation   able  quickly fall   feds    target      gap  wall streets expectations  fed talk may also stem  part  central bankers reluctance  come across   optimistic  public  fed believes  policies  slow demand  combat inflation work  tightening financial conditions     raising borrowing costs  lowering stock prices   asset values   market rallies  ease financial conditions could potentially hinder officials effort  restrain hiring  wage growth  minute  fed acknowledges inflation isnt  problem anymore  markets   speed higher   would prolong  feds job   jack mcintyre  portfolio manager  brandywine global   end   day   may matter   markets isnt  high  fed raises rates    well  economy  able  hold    coming   instance  goldman sachs group inc  says   US  narrowly avoids recession    expects     sees stocks ending     touch higher    economy   go  recession  goldman sees earnings growth sliding   case   &amp;p     could fall        far different outcome write  akane otani  akane otani@wsj com  nick timiraos  nick timiraos@wsj com,1,5589
2,2023-01-12,ConocoPhillips in Talks to Sell Venezuelan Oil in U.S. to Recover Billions It Is Owed - WSJ,"The Houston-based oil company has had preliminary discussions with Venezuelas state oil firm, PdVSA",conocophillips   abandoned venezuela   assets  nationalized          open   deal  sell  countrys oil   US    way  recover  close      billion   owed  venezuela  according  people familiar  discussions   company  venezuela representatives    preliminary talks  conocophillips  national oil company petróleos de venezuela sa   two sides  looking   proposal  could allow  houston based company  load  transport  sell venezuelas oil   US   behalf  pdvsa    state oil company  known   would give conocophillips  chance  recover  money  lost   country  help  US  meet  energy needs   people   arrangement would help venezuela end  commercial isolation   caused  US  sanctions leveled   oil industry          open  US  market   crude   US   historically  venezuelas largest oil market   sanctions   several big gulf coast refineries designed  run  heavy crude    sharp yearslong fall  venezuelan production curbed supply   sanctions  imposed   US   response  human rights violations  democratic backsliding  broke  trade conocophillips     license   US  treasury department  negotiate debt recovery  pdvsa  declined  discuss  deal  pdvsa regarding pdvsa recovery efforts  conocophillips  committed  pursuing  available legal avenues  protect  rights  obtain  full  fair recovery   awards  recognition   fiduciary responsibility   shareholders  conocophillips    statement   state department didnt answer questions  conocophillips  instead saying US  policy   implement  enforce  venezuela sanctions  support   return  democracy  venezuela  possibility   deal  pdvsa  conocophillips comes   biden administration issued  license  november  chevron corp   restart oil production  exports  existing joint ventures  pdvsa  marking  first significant easing  US  sanctions  venezuela president nicolás maduros government   trump administration  barred  western companies  operating  venezuela   effort  dislodge   maduro  power   survived   help  china  russia  iran    chevron    license  starting  load crude   companies  trying  resume suspended production  expand  limited operations   maintained  venezuela  least  handful  oil  gas companies  exploring venezuelan deals  holding talks  pdvsa      seeking authorization   US  state  treasury departments  order  negotiate  according  people close     firms  among  pressing  US  approval  expand operations  venezuela  spains repsol sa  italys eni spa   produce modest amounts  gas  venezuelas coast  representatives   two companies didnt immediately respond  requests  comments elliott abrams   served  envoy  venezuela   trump administration  says  european companies want fair treatment  US  regulators  question      fair  youre repsol [] eni?   abrams   ultimately   companies  going     treated equally   biden administration  exchange   chevron license  venezuela agreed  discuss  path  free  fair elections         opposition   clear  way      billion united nations administered humanitarian aid program    yet   implemented chevron chose  stay  venezuela despite  wave  expropriations    maduros predecessor  hugo chávez   died       conocophillips   contrast  pulled   later  nearly     billion  total international arbitration awards   venezuelan state  pdvsa   seizure   oil projects  awards make conocophillips  largest private sector creditor  venezuela   years   company  aggressively pursued enforcement   claims  imposing liens  venezuelan assets around  world         settlement agreement      billion award  pdvsa paid conocophillips      million  halting payments  blaming sanctions venezuela  totally ready  take steps toward  process  normalization  diplomatic  consular  political relations  washington    maduro    recent interview  state television conocophillips isnt considering going back  venezuela  pump oil   least    despite opportunities floated  pdvsa  including gas deals  according   people familiar   talks   things stand  venezuela    limited volume  oil  export unless   attract  investment  fix long neglected oil fields  pipelines  port infrastructure ,2,4036
3,2023-01-12,U.S. Inflation Slowed for Sixth Straight Month in December - WSJ,Consumer-price index rose 6.5% last month from a year earlier,US  inflation eased  december   sixth straight month following  mid      peak   federal reserve aggressively raised interest rates   economy showed signs  cooling  consumer price index   measurement   consumers pay  goods  services  rose      last month    earlier          november  well        peak  june core cpi   excludes volatile energy  food prices  climbed       december    earlier  easing      gain  november  many economists see increases  core cpi   better signal  future inflation   overall cpi  core prices increased        annualized rate   three months ended  december   slowest pace               june  figures added  signs  inflation  turning  corner following last years surge   also likely keep  fed  track  reduce  size  interest rate increases   quarter percentage point   meeting  concludes  feb        half percentage point increase  december US  stocks climbed thursday  investors bought US  treasurys  lifting bond prices  weighing  yields   &amp;p     added         dow jones industrial average gained            points   technology heavy nasdaq composite also rose      easing inflation follows several signs  US  economic activity cooled  late       US  imports  exports fell  november  october   retail sales  manufacturing output  home sales  declined  job  wage growth slowed  december  though  labor market remained tight  historically low claims  unemployment insurance   start     december cpi report  welcome good news    bad patch  inflation   bill adams  chief economist  comerica bank    consumers  getting relief  lower gasoline prices  moderating food prices   well  declining prices   goods   monthly basis   cpi fell       december  due  sharply falling energy prices   compared   gain        november        october  food price increases also slowed last month  core cpi rose       december    novembers      rise         increases  august  september goods prices   key driver  inflation   past    half  fell   third straight month  december  prices fell  products   autos  computers  sporting goods improving supply chains  reduced demand  relieved price pressures  goods   services prices continued  climb  part   wage gains   tight labor market  economists worry  still high wage growth could keep consumers flush  cash  companies eager  raise prices  compensate  holding inflation   feds    target taming services inflation    feds biggest challenge     ryan sweet  chief US  economist  oxford economics shelter prices rose       december    earlier   labor department     broader measure  services prices  excludes utilities rose       period   increases   biggest since      daycare  preschool prices rose       december    earlier   biggest increase since          home health care increased         period  hospital services prices  meanwhile  jumped       december   prior month   sharpest monthly increase since      inflation remained high across  globe  november  though  abated   month   organization  economic cooperation  development  tuesday  consumer prices across  group     largest economies  contribute four fifths  economic output worldwide rose       earlier  november    octobers      increase   first drop   g    inflation rate since august      prices rose sharply         US  economy rebounded   covid    pandemic  powered  pent  consumer spending  got  boost  low interest rates  government stimulus  snarled supply chains fueled higher prices  many goods  russias invasion  ukraine  early      also tightened supplies  energy   commodities   stoking inflation worldwide inflation pressures  goods dissipated last summer  supply chains improved  energy prices fell  shipping costs  china   west coast  near prepandemic levels  gasoline prices  declined    national average price  regular unleaded gasoline         gallon  thursday       cents  gallon  mid november  according  opis   energy data  analytics provider  gasoline prices peaked  mid june   record        gallon logistics prices  also slowed materially  shipping costs  back     pre covid   jake oubina  senior economist  piper sandler   alleviation   cost side  creating  wherewithal  discount  aggressively   head        clearest impact  fed tightening  far    housing market  existing home sales fell  november     th straight month  high mortgage rates boosted buyers costs ian snowden       old tech salesman    shift  remote work   pandemic hit allowed   move  asheville  n c      easy access  hiking  fishing   outdoor activities  move proved expensive  though   losing   cash buyers  bids  existing homes    snowden signed  contract  september       buy  newly constructed property    time  home  completed  following june  mortgage rates  doubled   top     construction company told       hook   extra          offset unexpectedly high costs  concrete  labor   items   could back    contract   point    snowden     already selling  old house   made plans  move    wasnt going  back    much  already  motion       higher mortgage rates   additional costs   monthly mortgage payment increased         austen hufford contributed   article ,3,5077
4,2023-01-12,Sam Bankman-Fried Resurfaces With Fresh Defense of FTX Collapse on Substack,"Stock Market Today, Jan. 12: Stocks Close Higher After CPI Data",sam bankman fried  back online  using  new public forum  rally  defense  founder  ftx launched sbfs substack  thursday  giving  take   events leading   crypto exchanges collapse    bankman fried   house arrest   parents california home   faces federal fraud charges    pleaded  guilty  didnt steal funds    certainly didnt stash billions away   wrote   post  arguments   appear    outline   coming legal defense  mirror    bankman fried posted  twitter   weeks   arrest   bankman fried wrote   substack: compared ftx  alamedas problems    credit suisse  whose shares plummeted last fall    end   day   run   bank fell short  ftxs didnt    assertions contradict federal prosecutors    bankman frieds  former associates    end   post    bankman fried wrote       say:  funds  stolen  alameda lost money due   market crash    adequately hedged   wall street journal  previously reported  ftx lent billions  dollars' worth  customer assets  fund risky bets  alameda     hedge fund' chief executive  senior ftx officials knew   decision  send user funds  alameda  collapse    bankman frieds hedge fund  alameda research  stemmed   broad crypto market meltdown  ' run alameda   last  years ftx could  raised fresh investor cash  made customers whole   wasnt forced  bankruptcy alamedas insolvency stemmed  failure  hedge  positions  actions  rival exchange binance alamedas contagion spread  ftx ,4,1390
5,2023-01-13,SEC Sues Crypto Firms Genesis and Gemini Over Lending Product - WSJ,"The program, called Gemini Earn, allegedly violated investor-protection laws",washington  securities  exchange commission  thursday sued genesis global capital llc  gemini trust company llc        million crypto lending program  allegedly violated investor protection laws  sec filed  civil lawsuit  manhattan federal court alleging  genesis   registered  product   would  required providing clients  detailed financial disclosures   companies began marketing  program  individual investors  february       raised billions  dollars worth  crypto assets  hundreds  thousands  investors   sec    program  called gemini earn  customers  crypto exchange gemini lent  crypto assets  crypto lender genesis  exchange  interest payments  high      gemini took  fee  arranging  loan   sometimes reached  much          sec   two companies   feuding since genesis abruptly paused withdrawals   program  nov       couldnt meet client redemption requests   wake  crypto exchange ftxs collapse    time  genesis held       million  assets          gemini earn customers  according   sec  secs lawsuit seeks fines   return  profits   illegally earned  look forward  defending    manufactured parking ticket     make sure  doesnt distract us   important recovery work     tyler winklevoss  co founder  gemini     tweet  response   sec suit   spokeswoman  genesis didnt comment since genesis paused redemptions  gemini  banded together   creditors  genesis  saying  wants  find  way   crypto lender  return owed assets  recent days  cameron winklevoss   co founded gemini  brother tyler   ratcheted   pressure  genesis   parent company  digital currency group  cameron winklevoss traded barbs  barry silbert  chief executive  dcg   twitter last week  cameron winklevoss accused   silbert  bad faith stall tactics   called    silberts removal  ceo   firm  two recent open letters posted  twitter   dcg spokeswoman  called  winklevoss letters  desperate  unconstructive publicity stunt genesis laid        staff last week   considering filing  bankruptcy   wall street journal recently reported   crypto lender suffered steep losses  loans  supplied    defunct trading firm alameda research  crypto hedge fund three arrows capital   alameda  three arrows filed  bankruptcy last   alameda   sister trading firm  ftx  lawsuit  genesis  gemini resembles another case   sec  several states filed  blockfi lending llcs product   allowed crypto traders  earn  yield  lending  digital assets   sec alleged  blockfis interest bearing accounts  securities    firm   registered  product  blockfi paid       million fine  settle  allegations   company didnt admit  deny wrongdoing  newlawsuit   second recentregulatory complaint filed  gemini   commodity futures trading commission also sued  crypto exchange last   cftc    civil case  gemini misled regulators  part   effort  gain approval  bitcoin futures        gemini denied  cftcs claims   time    would fight  allegations  court   litigation  ongoing write  dave michaels  dave michaels@wsj com  vicky ge huang  vicky huang@wsj com,5,2978
6,2023-01-12,Activist Investor Nelson Peltz to Disneys New Board Chair: No Thanks - WSJ,Entertainment companys appointment of Nikes Mark Parker to Disney chairman puts a Bob Iger loyalist in control of succession,activist investor nelson peltz doesnt think  walt disney co  dis <span class=css  hk j  chicletchange erm ah  >     </span><span class=css jozwg  arrow erm ah  ><span class=css  q p  h arrowhiddenlabel erm ah  >increase; green  pointing triangle</span><svg height=   viewbox=          width=  ><defs><path =           l                  h    l                    z id=arrow  filled small_svg__a></path></defs><use fill=currentcolor fill rule=evenodd transform=rotate xlink:href=#arrow  filled small_svg__a></use></svg></span> board leadership change  shift  direction   company  saying  new chairman  little    rubber stamp  newly returned ceo bob iger  according  people familiar   matter  thursday    peltz   hedge fund trian fund management lp turned   heat   proxy battle  despite board changes  walt disney co  made wednesday   effort  counter  push  disney  wednesday replaced  board chair susan arnold  nike inc  nke <span class=css  hk j  chicletchange erm ah  >      </span><span class=css ule   arrow erm ah  ><span class=css  q p  h arrowhiddenlabel erm ah  >decrease; red  pointing triangle</span><svg height=   viewbox=          width=  ><defs><path =           l                  h    l                    z id=arrow  filled small_svg__a></path></defs><use fill=currentcolor fill rule=evenodd transform=rotate xlink:href=#arrow  filled small_svg__a></use></svg></span> chairman mark parker   assured investors   would lead  search   companys next chief executive   peltz thinks   parker   newly returned   iger   friendly    parker   truly objective  according  people familiar    peltzs thinking    peltz also thinks   parker   many demands   time  attention  given   still serves  nikes executive chairman   people  wednesday night   activist   fund made  criticisms  disneys performance public   online presentation titled restore  magic followed   proxy filing thursday  detailed  assessment   company  crisis due    describe   series  self inflicted wounds  argued disney   hobbled  poor succession planning    top compensation  mismanagement  costs  flawed strategy   criticized disney  using  theme parks revenue  subsidize  streaming losses   disneys acquisition     st century fox inc  assets put disney   unhealthy financial state  foxs corporate sibling  news corp  owns  wall street journal disneys failure  persuade   peltz   company    right track means    iger faces  rockier road ahead   first  back atop disney   already includes challenges    potential recession   prolonged stock price slump  rising costs  content  potential layoffs  stiff competition   streaming video business  also highlights ongoing concerns among shareholders  disneys leadership  strategy  succession plans  six months ago  disney fended   challenge  another activist  dan loeb   agreed  back    company appointed  director    loeb  approved disney opposes placing   peltz   board   company thinks   part    activist investor lacks experience   media  entertainment space  according  people familiar   companys thinking  board also thinks  adding   peltz   board would bring  disruption amid  already turbulent time   company    navigates  new period    iger back   helm  people familiar   matter    shareholders voiced concerns  disneys succession planning    iger returned   people  ms  arnold retiring  chairwoman     works       term limit nearly   wasnt meant    reaction    peltzs campaign   people   disneys bylaws limit nonmanagement directors     total years   board     arent permitted  stand   election   iger reclaimed  ceo spot  disney  november    companys board fired bob chapek   ouster came    peltz  amassing disney shares   communicating    chapek   stake  according  trians proxy materials   peltzs fund   amassed         million stake    likely grow larger  according  people familiar   matter      online presentation  doesnt want  replace   iger    seeking  board seat  wants  ceo named within two years disney  wednesday   members   senior leadership team  engaged    peltz numerous times   past  months   board  asking shareholders  vote     coming annual meeting  disney also asked shareholders  reinstate  current board  directors   company minus ms  arnold   presentation  trians website    peltzs fund highlighted   described  mistakes made   board   compared disneys shareholder returns   broader market   tenure   director    parkers seven years   board  seen disneys performance trail  &amp;p          percentage points   wider margin     director   presentation    still several current directors  members  management  oversaw  approved   disneys worst corporate governance  strategic failures  trian wrote   iger  long admired   parker   executive andhas felt  nike  disney  similar leadership needs  according  people familiar   matter   two men   close professional relationship       iger  told associates   considers   parker         designed  nike pegasus running shoe   creative executive  praised  steering  nikes business toward   digital focused e commerce model   path tracks disneys  pivot  streaming video  recent emphasis  smartphone apps  data driven sales practices   two men  also bonded   fitness buffs  people familiar   matter    five  people  serve  board chairs  two companies simultaneously  according  governance research firm equilar  inc   going  take  awful lot  work   charles elson  founding director   weinberg center  corporate governance   university  delaware   peltzs campaign  rooted   belief  disneys board  senior management  made  series  high profile missteps   last     iger  also criticized several   disney boards moves  according  people familiar   matter last    disney directors began  discuss whether   chapek could recover   war  words  republican florida gov  ron desantis   education bill  according  people familiar   matter   board members discussed appointing   parker  interim ceo   people   early june     chapek fired  top deputy  ms  arnold released  statement saying    chapek   full support   board  later  month   board renewed   chapeks contract   end          objections   least two directors  needed   persuaded   chapek  still  right man   job   wall street journal previously reported   iger told friends   time   couldnt understand  ms  arnold   unwavering   support    chapek  despite   viewed  clear signs    chapek wasnt leading disney successfully  according  people familiar   matter  last summer    company veered  crisis    peltz   wife dined    chapek   wife  disneyland paris    activist investor told   ceo    interested  joining  board  offering  fresh perspective  according  trians proxy materials   peltz also told two  disney directors  oracle corp  ceo safra catz  procter &amp; gamble co  board member amy chang    wanted  join  board  help turn around  company  drive long term shareholder value  according  trians proxy materials  discussions didnt go anywhere  early november   disneys share price plummeted following  weaker  expected quarterly earnings report  according  trians proxy materials    peltz pounced  quickly accumulating        million worth  disney stock    days later   contacted   chapek  initiate  formal dialogue   last week  disney    peltz  met  try  reach  agreement  would avoid  proxy fight    avail  ms  arnold called   peltz  wednesday  offer   view   board     seat   board     peltz declined  according  trians proxy materials ,6,7381
7,2023-01-12,Climate Startup Removes Carbon From Open Air in Industry First - WSJ,Climeworks cashes in on new technology by selling carbon credits to Microsoft and others,one    important technologies  address climate change got  boost thursday   startup   pulled carbon dioxide   open air  stored  underground   company  cashed    effort  potentially creating  viable business model  could kick start  new industry climeworks ag   leader   race  remove carbon dioxide   atmosphere  using  process known  direct air capture  customers  including microsoft corp   paid  significant premium  buy carbon credits generated  climeworks  allowing   effectively offset   emissions climeworks  others  long promised  using vacuum like devices  pull  air  filter   bury carbon underground  help mitigate environmental damage caused  human activities     first time  company  actually done    meaningful scale using  third party verified process  hope   growing   teenager   grown    industry  christoph gebald  co chief executive  climeworks     interview founded        climeworks  effectively carrying   trees   taking carbon dioxide    atmosphere   process promises  store  carbon   earth  thousands  years   company makes money  removing  carbon  behalf  businesses   claim   becoming carbon neutral microsoft  e commerce company shopify inc   payments firm stripe inc   prepaid  agreed  pay hundreds  dollars per credit     represents one metric ton  carbon removed   carbon credits tied  projects   keeping trees standing  often  criticized   projects often dont reduce emissions  much  promised companies pay  premium  sometimes paying hundreds  times  much     basic credits    credits  climeworks     certainty  remove carbon   atmosphere   companies  also willing  pay   help jump start  industry  hoping  costs decline rapidly    important inflection point   development  direct air capture   stacy kauk  shopifys head  sustainability   isnt  science fiction   reality  promise   technology  prompted established businesses   occidental petroleum corp   develop   direct air capture strategies climeworks operates one   worlds  operational direct air capture plants  iceland    capable  removing        metric tons  carbon dioxide    roughly equivalent   annual emissions       passenger cars   removals   point   done using methods   burying carbon rich plant material underground climeworks declined  say  much carbon  removed  businesses globally  agreed  purchase credits equivalent            metric tons  carbon removal     companies  according  data provider cdr fyi  scientists estimate billions  metric tons   need   removed annually  midcentury  avoid  worst effects  global warming bigger companies  investors  flocking   industry  occidental recently   aims  increase  number  planned direct air capture facilities  operates                 aided  bolstered tax credits   part   climate  health  spending legislation known   inflation reduction act  tax credits          per metric ton  removal  occidental  working   startup   first large facility   texas permian basin  airbus se  committed  buy several hundred thousand credits  removal tied   project  effective   think carbon removal    fighting climate change? join  conversation  </em>climeworks raised       million  equity  investors including singapore sovereign wealth fund gic pte  ltd   private equity firm partners group holding ag early last     also raised debt  microsofts    billion climate innovation fund  company  building  second facility  iceland    capable  removing         metric tons     eyeing US  expansion   government doling        billion        infrastructure bill  develop four regional direct air capture hubs   european union  also taking steps  grow  sector  support  governments  provided   game changer   zeke hausfather  stripes climate research lead carbon removal differs  efforts  capture carbon  factory smokestacks     proposed  energy companies  carbon removal  one   potential technological solutions  climate change      decades   makes  dent   greenhouse gases   atmosphere   critics say  could provide  excuse  business  usual policies  fossil fuels skeptics question using huge amounts  energy  resources  build massive machines   name  fighting climate change  climeworks iceland facility runs  renewable geothermal energy meaning  associated emissions  minimal   different startup pumps  carbon underground  dissolving   vast amounts  water industry executives say  direct air capture  one    solutions  large scale carbon removal   mitigate unavoidable emissions   costs  come    industry matures  hope   future  people pay  carbon removal like   pay  trash collection   make  point  jan wurzbacher  co ceo  climeworks  threw trash bags  stage   talk   years ago  london ,7,4618
8,2023-01-12,Chinas Junk-Bond Market Creaks Open With a $400 Million Sale - WSJ,Dalian Wanda Commercial Management Groups transaction could inspire other real-estate firms to make offerings,hong kong  chinese commercial property company sold US  dollar bonds  thursday  yields topping      reopening  market  junk debt   country   wave  defaults last  dalian wanda commercial management group co    operates shopping malls across china   controlled  chinese billionaire wang jianlin  tested investors appetite  risk  week   two  bond offering  one   units  unit sold bonds        million face value       coupon   securities  sold       cents   dollar   enabled  deal   priced  yield           new debt  rated bb  fitch ratings  ba   moodys investors service  levels  sit   highest category  speculative grade ratings  transaction could inspire  chinese real estate firms  come back   table  discuss potential deals   investment bankers predicted   leonard law   senior credit analyst  research firm lucror analytics   investors   wary  reading  much   deal  cant definitely say   offshore bond market  reopened  property developers    law  many investors dumped chinese high yield dollar bonds last    residential property giants china evergrande group  kaisa group  sunac china  many   peers defaulted   international debt  new junk debt issuance slowed   trickle  bond prices collapsed  yields soared  making   costly   companies  borrow  average yield  outstanding junk dollar bonds  chinese companies  havent defaulted hit  record high       october       according   ice bofa index  tracks   november  chinese authorities unveiled  series  measures designed  help surviving property developers obtain access  financing  lowering  default risk  sparking  junk bond rally    taken  average yield  sub investment grade chinese dollar bonds        dalian wanda commercial management groups business  different    residential apartment sellers   country garden holdings co    peers   former describes    worlds largest commercial properties holding  managing  operating enterprise   manages hundreds  wanda plazas across china  proceeds   debt sale    led  credit suisse   help refinance  groups existing debt  sales  asian investment grade bonds     tear  far    investors  likely  remain cautious   comes  high yield bonds   freddy wong  head  asia pacific fixed income  invesco  fresh issuance   chinese dollar junk bond market   skewed toward companies  stable fundamentals         market   telling     fully ready    wong added matthew thomas contributed   article ,8,2381
9,2023-01-12,"What, if Anything, Can You Do to Prepare for a Recession? - WSJ","Textbook advice may be unhelpful in the event of an economic slowdown, but there are small steps to take",   guarantee  recession  coming          likely  late  people  make  major financial preparations even    convinced one  imminent many economists  business leaders expect  recession     october  economists surveyed   quarterly wall street journal poll  average estimated         chance   recession   following    months  best ways  fortify  finances  economists  financial advisers say    beef   emergency savings  pay   high interest debt  develop alternative income streams   advicepresents  problem    havent already started   things   recession  happen soon  financial researchers  economists say    late  make significant headway   truly prepare   imminent recession  many americans would need  time machine     could go  overhaul  finances hopefully    aware    putting  things  practice   recession  coming  says damon jones   economist   university  chicagos harris school  public policy   hard   put    things  place    short run christopher lyman   financial planner  allied financial advisors  llc  newtown  pa   says    clients  worried   recession   sometimes reminds     long term financial plan  accounts  downturns means    ask    panic     one comes   think  recession  likely   steps   taking  prepare? join  conversation  </em> want  prepare   stuff   winter sets      middle  winter    lyman says   need  worry    summer  fall  many  financial vulnerability   recession results  part  poor spending  saving habits  credit card balances   growing   past    americans personal saving rate        november            according   bureau  economic analysis    also arise  forces beyond peoples control  says prof  jones  history suggests  groups  workers   prone  losing  job   recession    industries tend  shed  jobs   tech layoffs   notable lately   prior recessions  hospitality  construction industries  tended  get hit particularly hard  says jonathan parker   finance professor  mits sloan school  management moreover  telling someone  boost  savings    living paycheck  paycheck   low wage job  impractical advice  preparing   recession  often  challenging     fewer resources  begin   says prof  jones theres  spectrum     go    terms   much    assets   less practical  advice becomes  prof  jones says  guidelines  attaining financial security among households   income                    could cover  unexpected        expense   savings  according   january      survey   financial website bankrate   households earning                   best strategy   always  preparing  recessions  says cliff robb   professor  consumer science   university  wisconsin madison  studies financial decision making   means    good  time    get started   cant sock away significant money   emergency fund right   starting small  ok     things      moment  better position    possible recession  helps  mentally prepare  hard times   arrive  says prof  parker  workers  prepare   possibility   layoff  researching ahead  time whether  would  eligible  unemployment insurance  coming    detailed strategy  finding another job   really useful    think ahead  little bit     hard  times  stress  figure  alternative plans  prof  parker says  youre worried   possibility  losing  income   recession  prof  jones says   also  wise  people  hold    financial decisions  would lock   hefty recurring payments    buying  fancier car   bigger house   leave  less flexible  adapt  negative surprises   says people may   able  wholly renovate  personal finances   spot     still make certain adjustments immediately    lyman   financial planner  pennsylvania  says     cash   earning low interest   could move    account   higher yield   also pays  look  ways  trim  expenses even    cutting  budget   much   least  still gives   peace  mind    right  ive done something  try  safeguard      lyman says ,9,3799
